"unit_id","center_sgg","ref_center","emd_count","included_emd"
"Control_47280_마성면","47280","마성면",14,"가은읍, 농암면, 동로면, 마성면, 문경읍, 산북면, 산양면, 영순면, 점촌1동, 점촌2동, 점촌3동, 점촌4동, 점촌5동, 호계면"
"Control_47170_풍천면","47170","풍천면",23,"강남동, 길안면, 남선면, 남후면, 녹전면, 도산면, 명륜동, 북후면, 서후면, 송하동, 안기동, 예안면, 옥동, 와룡면, 용상동, 일직면, 임동면, 임하면, 중구동, 태화동, 평화동, 풍산읍, 풍천면"
"Control_47230_청통면","47230","청통면",16,"고경면, 금호읍, 남부동, 대창면, 동부동, 북안면, 서부동, 신녕면, 완산동, 임고면, 자양면, 중앙동, 청통면, 화남면, 화북면, 화산면"
"Control_47130_강동면","47130","강동면",23,"감포읍, 강동면, 건천읍, 내남면, 동천동, 문무대왕면, 보덕동, 불국동, 산내면, 서면, 선도동, 성건동, 안강읍, 양남면, 외동읍, 용강동, 월성동, 중부동, 천북면, 현곡면, 황남동, 황성동, 황오동"
"Control_47770_병곡면","47770","병곡면",9,"강구면, 남정면, 달산면, 병곡면, 영덕읍, 영해면, 지품면, 창수면, 축산면"
"Control_47830_성산면","47830","성산면",8,"개진면, 다산면, 대가야읍, 덕곡면, 성산면, 쌍림면, 우곡면, 운수면"
"Control_47920_봉성면","47920","봉성면",10,"명호면, 물야면, 법전면, 봉성면, 봉화읍, 상운면, 석포면, 소천면, 재산면, 춘양면"
"Control_47820_매전면","47820","매전면",9,"각남면, 각북면, 금천면, 매전면, 운문면, 이서면, 청도읍, 풍각면, 화양읍"
