"Band_Radius_km","Unit_Count","Included_EMDs"
5,13,"감천면, 개령면, 대신동, 북삼읍, 선주원남동, 아포읍, 양금동, 자산동, 지좌동, 초전면, 평화남산동, 형곡1동, 형곡2동"
10,20,"감문면, 고아읍, 공단동, 광평동, 기산면, 대곡동, 도량동, 벽진면, 비산동, 상모사곡동, 송정동, 신평1동, 신평2동, 약목면, 어모면, 원평동, 월항면, 임오동, 조마면, 지산동"
15,14,"구성면, 금수강산면, 대가면, 대항면, 무을면, 봉산면, 석적읍, 선산읍, 성주읍, 양포동, 왜관읍, 인동동, 지례면, 진미동"
20,10,"가천면, 공성면, 매곡면, 산동읍, 선남면, 옥성면, 지천면, 청리면, 추풍령면, 해평면"
